id, name,  external_id,  state,  openshift_version,  creation_timestamp,  activity_timestamp, master_count, infra_count, compute_count, vcpu_max, memory_max, cloud_provider, region_name, managed, user_count, project_count, pod_count
215,"rhmicee01","rhmicee01","provisioned","v3.11.154","2019-10-08T12:15:23.000Z","2020-07-14T17:16:09.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",48,67,149
217,"wc-pr01","wc-pr01","provisioned","v3.11.154","2019-10-21T20:49:28.000Z","2020-07-14T17:16:10.000Z",3,3,4,"32.0","128.0","aws","us-east-1","dedicated",55,21,70
218,"forum-osd","forum-osd","provisioned","v3.11.154","2019-10-23T17:42:51.000Z","2020-07-14T17:16:10.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",28,29,202
220,"dir-osd3","dir-osd3","provisioned","v3.11.154","2019-12-16T05:01:02.000Z","2020-07-14T17:16:12.000Z",3,3,4,"16.0","64.0","aws","ap-northeast-1","dedicated",25,21,15
222,"smu","smu","provisioned","v3.11.154","2020-01-15T03:15:22.000Z","2020-07-14T17:16:11.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",23,33,66
224,"de-odp-p-bmwhub","de-odp-p-bmwhub","provisioned","v3.11.154","2020-02-03T17:15:32.000Z","2020-07-14T17:16:12.000Z",3,3,9,"72.0","576.0","aws","eu-central-1","dedicated",72,22,188
225,"mta-dev","mta-dev","provisioned","v3.11.154","2020-02-12T01:15:18.000Z","2020-07-14T17:16:12.000Z",3,3,5,"40.0","160.0","aws","us-east-1","dedicated",36,51,107
226,"coopans","coopans","provisioned","v3.11.154","2020-03-04T03:15:28.000Z","2020-07-14T17:16:13.000Z",3,3,6,"24.0","96.0","aws",null,"dedicated",32,81,110
227,"xg-ocp","xg-ocp","provisioned","v3.11.154","2020-03-05T15:45:44.000Z","2020-07-14T17:16:13.000Z",3,3,4,"32.0","128.0","aws","us-east-1","dedicated",30,22,31
229,"rhmi-staging2","rhmi-staging2","provisioned","v3.11.154","2020-04-21T01:15:36.000Z","2020-07-14T17:16:14.000Z",3,3,6,"24.0","96.0","aws","eu-west-1","dedicated",23,32,79
230,"wgordon","wgordon","provisioned",null,"2020-05-13T20:15:14.000Z","2020-07-14T17:16:14.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",0,0,0
231,"us-odp-p-bmwhub","us-odp-p-bmwhub","provisioned","v3.11.154","2020-05-26T22:15:13.000Z","2020-07-14T17:16:15.000Z",3,3,9,"72.0","576.0","aws","us-east-1","dedicated",35,19,95
232,"iot-hub-dev","iot-hub-dev","provisioned","v3.11.154","2020-06-04T02:15:18.000Z","2020-07-14T17:16:15.000Z",3,3,6,"24.0","96.0","aws","eu-central-1","dedicated",23,30,68
